event_name,lineup,event_link,event_date
 / 20 JAHRE PILSKILLS & TRUEBEATZCREW,"Pilskills,Donald & Rave,Maxwell Smart (Smith&Smart),Ossi Oskar (The REAL!!),Resoul,Rolle,Slick Walk (Dj Robert Smith & Merse),STINOE,Stoned Fingers",http://berghain.de/event/2164,Saturday 21 October 2017
 / HELSINKI-COTONOU ENSEMBLE,Helsinki-Cotonou Ensemble,http://berghain.de/event/2203,Friday 23 March 2018
 / KLUBNACHT,"Ben Klock,Sote,Inigo Kennedy,DJ Pete,Marcel Dettmann,Zenker Brothers,DJ Nobu,Boris,Massimiliano Pagliara,Chida,Alden Tyrell,Nathan Jonson,Nick Höppner,Tama Sumo,Jennifer Cardini,Apollonia",http://berghain.de/event/2157,Saturday 21 October 2017
 / JOHANNA BORCHERT & BAND,Johanna Borchert & Band,http://berghain.de/event/2143,Monday 18 December 2017
 / KELELA,Kelela,http://berghain.de/event/2168,Thursday 07 December 2017
 / TTEO,TTeo,http://berghain.de/event/2120,Wednesday 20 December 2017
 / WOMAN,Woman,http://berghain.de/event/2075,Wednesday 06 December 2017
 / ADHD ,AdHd,http://berghain.de/event/2201,Friday 20 October 2017
 / ACIDIC FORCE,"Gian,Hardfloor,LA-4A",http://berghain.de/event/2163,Thursday 19 October 2017
 / SECOND WOMAN | GÁBOR LÁZÁR,"Gábor Lázár,Second Woman",http://berghain.de/event/2155,Wednesday 18 October 2017
 / MANNEQUIN RECORDS NACHT II X PAN,"Pan Daijing,Objekt,Juliana Huxtable,Errorsmith b2b M.E.S.H.,Bill Kouligas b2b Umfang,JASSS,Vereker,June,Black Merlin,Alessandro Adriani",http://berghain.de/event/2156,Friday 20 October 2017
 / RAUNG RAYA | MOONDOG FOR GAMELAN,"Iwan Gunawan Ensemble & Stefan Lakatos,Don't DJ",http://berghain.de/event/2160,Thursday 19 October 2017
 / ICH BRAUCHE EINE GENIE VOL 2,"Kerstin und Sandra Grether,Theresia Enzensberger,Shirley Holmes,Doctorella,The Brides - Funkarella & Marizla (Cool Whip),Cäthe",http://berghain.de/event/2147,Thursday 19 October 2017
 / KYLE,Abgesagt / Cancelled,http://berghain.de/event/2087,Tuesday 17 October 2017
 / KARIES | HALL&RAUCH,"Hall&Rauch,Karies",http://berghain.de/event/2072,Monday 16 October 2017
 / OLSSON,Olsson,http://berghain.de/event/2100,Wednesday 18 October 2017
 / CLOSENESS,Abgesagt / Cancelled,http://berghain.de/event/2111,Saturday 14 October 2017
 / RAUNG RAYA 2 | THE MAGIC OF SUNDA,"Karinding Attack,Otto Sidharta,Tarawangsawelas & Rabih Beaini,Uwalmassa",http://berghain.de/event/2202,Wednesday 15 November 2017
 / FINEST FRIDAY,"nd_baumecker,Daphni",http://berghain.de/event/2153,Friday 13 October 2017
 / KLUBNACHT,"Becka Diamond,Alberich,Lussuria,Dedekind Cut,Dtekk,Ron Morelli,Shifted,Phase Fatale,Silent Servant,Function,Ancient Methods, Vatican Shadow,Oracy,Esteban Adame,Man Power,Anthony Parasole,Justin Strauss,Michael Serafini,Illum Sphere,Roi Perez",http://berghain.de/event/2154,Saturday 14 October 2017
 / ZIÚR,"coucou chloe,Ziúr,Jackie,Kiddy Smile,Swan Meat",http://berghain.de/event/2181,Thursday 30 November 2017
 / KLANGSTOF,Klangstof,http://berghain.de/event/2079,Thursday 30 November 2017
 / FAI BABA,"Cult Hands,Fai Baba",http://berghain.de/event/2004,Wednesday 27 September 2017
 / KLUBNACHT,"Atom TM & Tobias.,Vakula,Planetary Assault Systems,Psyk,Luis Flores,Ryan Elliott,Peter Van Hoesen,Steve Bicknell, Answer Code Request,Marvin & Guy,Ateq,Edward,Margaret Dygas,Pulsinger & Irl,Dinky,Nick Höppner,Muallem",http://berghain.de/event/2137,Saturday 30 September 2017
 / FINEST FRIDAY,"Lakuti,Philou Louzolo,Marcellus Pittman,Tama Sumo",http://berghain.de/event/2136,Friday 29 September 2017
 / SÄULE IX,"Elena Colombi,RAMZi,Phuong-Dan",http://berghain.de/event/2141,Thursday 28 September 2017
" / FUCK ART, LET'S DANCE! | SIND","SIND,Fuck Art, Let's Dance",http://berghain.de/event/2068,Friday 29 September 2017
 / NOT WAVING | MARIE DAVIDSON,"Marie Davidson,Not Waving,Alessandro Gaja",http://berghain.de/event/2138,Thursday 28 September 2017
 / CERTAIN PEOPLE,"Balzer & Hossbach,EMA,Blanck Mass,Forest Swords",http://berghain.de/event/1999,Tuesday 26 September 2017
 / FÜNF JAHRE JANUS,"Mechatok b2b Mobilegirl,Lotic,Why Be feat. Ecco2k,Babyfather,HVAD,KABLAM,Primitive Art,M.E.S.H.,Janus DJ-Team",http://berghain.de/event/2134,Friday 22 September 2017
 / BUDDY,Buddy,http://berghain.de/event/2162,Friday 22 September 2017
 / CLAP YOUR HANDS SAY YEAH,"The Ruby Suns,Clap Your Hands Say Yeah",http://berghain.de/event/1928,Monday 25 September 2017
 / STEFFI ALBUM RELEASE,"Privacy,Steffi,Klen b2b Pamétex",http://berghain.de/event/2133,Thursday 21 September 2017
 / KLUBNACHT,"Marcel Dettmann,Gesloten Cirkel,Kobosil,In Aeternam Vale,Dr. Rubinstein,DJ Stingray 313,Electric Indigo,Helena Hauff,Freddy K,Victor,D-IX,Manamana,Kate Miller,Marcel Dettmann,DJ Hell,DVS1,Avalon Emerson",http://berghain.de/event/2135,Saturday 23 September 2017
 / OQKO SECOND ANNIVERSARY,"Lvis Mejía,astvaldur,Daisuke Ishida,HMOT,DEKJ,smog,Dis Fig",http://berghain.de/event/2144,Saturday 23 September 2017
 / PIXX | HMLTD | THE GRAVES,"The Graves,Pixx,HMLTD",http://berghain.de/event/2129,Wednesday 20 September 2017
 / DENNIS LLOYD,Dennis Lloyd,http://berghain.de/event/2099,Monday 18 September 2017
 / SUBHEIM | MONOLOG // MADS LINDGREN | FIELD ROTATION | ERIC CARL,"Eric Carl,Field Rotation,Subheim,Monolog // Mads Lindgren",http://berghain.de/event/2098,Friday 15 September 2017
 / KESS KILL,"Tomhet,Celldöd,Violet Poison,Schwefelgelb,Rivet",http://berghain.de/event/2140,Friday 15 September 2017
 / GIRLPOOL | IAN SWEET,"Girlpool,Ian Sweet",http://berghain.de/event/2032,Saturday 16 September 2017
 / KLUBNACHT,"Ben UFO,Taken,Somewhen,Johanna Knutsson,Ulf Eriksson,Adam X,Antigone,Norman Nodge,Nemo,Dream 2 Science,Mike Dunn,Fred P,Rahaan,Shaun J. Wright,Marcus Marr,DJ Soch,Massimiliano Pagliara",http://berghain.de/event/2132,Saturday 16 September 2017
